City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
39,Barrow,71.2906,-156.7887,1.42,71,20,13.8,US,2021-11-16 21:37:24
40,Beberibe,-4.1797,-38.1306,82.44,75,15,15.35,BR,2021-11-16 21:37:24
41,Nemuro,43.3236,145.575,38.93,73,6,18.28,JP,2021-11-16 21:37:25
42,Hinche,19.15,-72.0167,83.62,80,44,6.08,HT,2021-11-16 21:37:25
43,Ponta Do Sol,32.6667,-17.1,68.63,63,18,6.78,PT,2021-11-16 21:37:25
44,Mangrol,21.1167,70.1167,76.5,48,71,12.57,IN,2021-11-16 21:37:26
45,Bambous Virieux,-20.3428,57.7575,73.65,83,75,2.3,MU,2021-11-16 21:37:26
46,Arraial Do Cabo,-22.9661,-42.0278,73.36,73,0,14.97,BR,2021-11-16 21:37:26
47,Jamestown,42.097,-79.2353,40.32,86,90,4.61,US,2021-11-16 21:38:27
48,Hofn,64.2539,-15.2082,38.05,65,76,13.6,IS,2021-11-16 21:38:27
49,Nanortalik,60.1432,-45.2371,23.36,58,98,15.86,GL,2021-11-16 21:38:27
50,Hobart,-42.8794,147.3294,56.12,66,75,1.99,AU,2021-11-16 21:38:27
51,Punta Arenas,-53.15,-70.9167,51.91,58,75,28.77,CL,2021-11-16 21:38:28
52,Kemijarvi,66.7131,27.4306,34.72,98,88,7.96,FI,2021-11-16 21:38:28
53,Mokrousovo,55.8103,66.7653,15.03,84,100,15.59,RU,2021-11-16 21:38:29
54,Cherskiy,68.75,161.3,4.44,87,35,4.25,RU,2021-11-16 21:38:29
55,Butaritari,3.0707,172.7902,82.13,69,99,14.36,KI,2021-11-16 21:38:29
56,Lubawa,53.5043,19.7497,37.92,91,30,7.05,PL,2021-11-16 21:38:30
57,Seymchan,62.8833,152.4333,7.74,88,100,15.93,RU,2021-11-16 21:38:30
58,New Norfolk,-42.7826,147.0587,55.76,51,60,4.65,AU,2021-11-16 21:38:30
59,Bressanone,46.715,11.656,51.46,93,99,1.74,IT,2021-11-16 21:38:30
60,Tuktoyaktuk,69.4541,-133.0374,-9.4,77,75,0.0,CA,2021-11-16 21:38:31
61,Norman Wells,65.282,-126.8329,-0.36,78,75,2.3,CA,2021-11-16 21:38:31
62,Huarmey,-10.0681,-78.1522,67.86,75,94,10.22,PE,2021-11-16 21:38:31
63,Krasnoselkup,65.7,82.4667,6.49,95,100,14.9,RU,2021-11-16 21:38:32
64,Port Alfred,-33.5906,26.891,64.69,79,100,17.25,ZA,2021-11-16 21:38:32
65,Qaanaaq,77.484,-69.3632,0.86,75,92,9.82,GL,2021-11-16 21:38:32
66,Yandyki,45.7691,47.1258,28.09,49,0,2.46,RU,2021-11-16 21:38:32
67,Necochea,-38.5473,-58.7368,55.04,61,4,15.52,AR,2021-11-16 21:38:33
68,Riyadh,24.6877,46.7219,69.94,35,40,8.7,SA,2021-11-16 21:34:50
69,Tasiilaq,65.6145,-37.6368,24.96,62,10,5.55,GL,2021-11-16 21:38:33
70,Saint-Pierre,-21.3393,55.4781,74.88,72,20,5.75,RE,2021-11-16 21:38:33
71,Hamilton,39.1834,-84.5333,58.98,62,1,5.75,US,2021-11-16 21:37:18
72,Amot,59.5714,7.9877,42.49,96,100,7.16,NO,2021-11-16 21:38:34
73,Faanui,-16.4833,-151.75,80.58,78,100,14.07,PF,2021-11-16 21:38:34
74,Lebu,-37.6167,-73.65,55.54,73,0,24.05,CL,2021-11-16 21:38:34
75,Dikson,73.5069,80.5464,-9.26,94,79,5.57,RU,2021-11-16 21:38:35
