City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
131,Cidreira,-30.1811,-50.2056,62.78,70,0,6.64,BR,clear sky
132,Souillac,-20.5167,57.5167,76.35,72,0,9.19,MU,clear sky
133,Krasnoselkup,65.7,82.4667,-15.54,96,18,10.8,RU,few clouds
134,Helong,42.5397,128.9972,37.31,49,10,2.77,CN,clear sky
135,Bratsk,56.1325,101.6142,9.09,81,100,13.06,RU,overcast clouds
136,Westport,41.1415,-73.3579,43.99,61,1,8.01,US,clear sky
137,Bilma,18.6853,12.9164,77.94,20,100,8.43,NE,overcast clouds
138,Chuy,-33.6971,-53.4616,59.74,74,0,8.63,UY,clear sky
139,Moron,-34.6534,-58.6198,71.02,78,0,3.0,AR,clear sky
140,Flinders,-34.5833,150.8552,71.8,88,100,3.0,AU,light rain
141,Comodoro Rivadavia,-45.8667,-67.5,69.66,30,0,19.57,AR,clear sky
142,Sharjah,25.3573,55.4033,73.38,69,0,3.44,AE,clear sky
143,Mandalgovi,45.7625,106.2708,19.42,49,100,9.62,MN,overcast clouds
144,Margate,51.3813,1.3862,51.66,83,37,8.43,GB,scattered clouds
145,Dwarka,22.2394,68.9678,77.95,74,100,11.63,IN,overcast clouds
146,Butaritari,3.0707,172.7902,82.24,71,100,18.21,KI,overcast clouds
147,Kahului,20.8947,-156.47,84.22,70,1,17.27,US,clear sky
148,Leningradskiy,69.3833,178.4167,-3.57,82,95,4.47,RU,overcast clouds
149,Moussoro,13.6408,16.4901,79.54,19,5,10.87,TD,clear sky
150,Beringovskiy,63.05,179.3167,9.37,96,98,13.18,RU,light snow
151,Port Lavaca,28.615,-96.6261,61.14,82,40,0.0,US,scattered clouds
152,Rockhampton,-23.3833,150.5,84.09,48,75,3.44,AU,broken clouds
153,Aswan,24.0934,32.907,60.1,63,0,14.97,EG,clear sky
154,Maceio,-9.6658,-35.7353,76.44,88,20,3.44,BR,few clouds
155,Itarema,-2.9248,-39.9167,80.94,77,94,17.83,BR,overcast clouds
156,Cascas,-7.4833,-78.8167,65.32,71,94,1.61,PE,overcast clouds
157,Kruisfontein,-34.0033,24.7314,57.81,72,97,2.77,ZA,overcast clouds
158,Vicksburg,32.3526,-90.8779,46.56,81,1,0.0,US,clear sky
159,Victoria,22.2855,114.1577,78.96,73,47,1.01,HK,scattered clouds
160,Lebu,-37.6167,-73.65,53.37,93,34,17.45,CL,scattered clouds
161,Vostok,46.4856,135.8833,24.3,76,92,1.66,RU,overcast clouds
162,Ibipeba,-11.6408,-42.0111,71.67,77,82,6.22,BR,broken clouds
163,Faya,18.3851,42.4509,54.12,83,0,6.2,SA,clear sky
164,Mbekenyera,-10.0,38.9833,71.28,83,43,4.54,TZ,scattered clouds
165,Fiditi,7.7136,3.9172,72.7,96,31,3.04,NG,scattered clouds
166,Puerto Ayacucho,5.6639,-67.6236,79.5,77,98,2.04,VE,overcast clouds
167,Thompson,55.7435,-97.8558,21.36,86,90,6.91,CA,light snow
168,Paamiut,61.994,-49.6678,32.88,75,100,36.1,GL,overcast clouds
169,San Andres,12.5847,-81.7006,82.42,83,20,9.22,CO,few clouds
170,Kaitangata,-46.2817,169.8464,56.88,82,100,5.39,NZ,overcast clouds
171,Prince Rupert,54.3161,-130.3201,44.69,87,90,11.5,CA,moderate rain
172,Port Lincoln,-34.7333,135.8667,60.46,58,40,14.0,AU,scattered clouds
173,Dhidhdhoo,6.8833,73.1,81.48,68,100,20.27,MV,overcast clouds
174,Petropavlovsk-Kamchatskiy,53.0452,158.6483,25.39,80,75,2.24,RU,light shower snow
175,Rovira,4.2392,-75.24,67.48,91,74,5.53,CO,broken clouds
176,Ngunguru,-35.6167,174.5,68.16,77,100,8.7,NZ,overcast clouds
177,Bethel,41.3712,-73.414,42.04,61,1,1.99,US,clear sky
178,Turbat,26.0023,63.044,61.12,19,0,16.6,PK,clear sky
179,San Lawrenz,36.0553,14.204,54.81,68,0,4.05,MT,clear sky
180,Bayevo,53.2833,80.7667,11.82,75,100,19.82,RU,overcast clouds
181,Lompoc,34.6391,-120.4579,59.13,89,75,8.05,US,mist
182,Los Llanos De Aridane,28.6585,-17.9182,62.35,64,0,8.01,ES,clear sky
183,Bilibino,68.0546,166.4372,-20.16,91,4,3.85,RU,clear sky
184,Fairbanks,64.8378,-147.7164,-6.7,75,1,0.0,US,clear sky
185,Sao Filipe,14.8961,-24.4956,78.39,75,100,4.25,CV,overcast clouds
186,Nome,64.5011,-165.4064,6.87,48,1,5.75,US,clear sky
187,Isangel,-19.55,169.2667,82.51,78,90,0.0,VU,overcast clouds
188,Camalu,30.85,-116.0667,56.43,88,79,6.58,MX,broken clouds
189,Dudinka,69.4058,86.1778,-10.07,92,94,18.52,RU,overcast clouds
190,Constitucion,-35.3333,-72.4167,52.32,93,29,1.41,CL,scattered clouds
191,Jiazi,22.8779,116.067,73.2,69,59,16.75,CN,broken clouds
192,Smidovich,48.6,133.8167,17.28,91,99,1.79,RU,overcast clouds
193,Waipawa,-41.4122,175.5153,63.23,35,45,11.01,NZ,scattered clouds
194,Juneau,58.3019,-134.4197,26.65,90,90,5.75,US,overcast clouds
195,Collie,-33.3667,116.15,68.99,40,2,6.62,AU,clear sky
196,Port Antonio,18.18,-76.4612,80.51,79,100,2.06,JM,overcast clouds
197,Tezu,27.9167,96.1667,70.14,34,0,0.51,IN,clear sky
198,Presidencia Roque Saenz Pena,-26.7852,-60.4388,63.97,62,0,5.73,AR,clear sky
199,Huicungo,-7.2833,-76.8,70.81,98,94,1.28,PE,overcast clouds
200,Ribeira Grande,38.5167,-28.7,66.06,76,98,22.06,PT,overcast clouds
201,Ust-Ishim,57.6935,71.1665,20.77,94,100,9.1,RU,overcast clouds
202,Acari,-15.4311,-74.6158,69.37,73,91,1.68,PE,overcast clouds
203,Broken Hill,-31.95,141.4333,70.88,56,100,16.02,AU,light rain
204,Ilva Mica,47.3167,24.6667,40.24,99,100,2.35,RO,overcast clouds
205,Beian,63.6559,9.5683,43.02,87,75,27.63,NO,broken clouds
206,Kieta,-6.2167,155.6333,84.24,59,100,7.76,PG,overcast clouds
207,Sarti,40.1,23.9833,51.96,73,97,4.07,GR,overcast clouds
208,Wewak,-3.5534,143.6268,83.01,77,99,2.39,PG,overcast clouds
209,Gotsu,35.0,132.2167,62.74,60,49,6.82,JP,scattered clouds
210,Axim,4.8699,-2.2405,78.55,89,69,7.18,GH,broken clouds
211,Xai-Xai,-25.0519,33.6442,70.92,84,100,9.33,MZ,light rain
212,Koppang,61.5706,11.0555,31.59,85,94,3.27,NO,overcast clouds
213,Nantucket,41.2835,-70.0995,45.09,56,20,13.8,US,few clouds
214,Taoudenni,22.6783,-3.9836,74.16,25,18,9.01,ML,few clouds
215,Idlib,35.9306,36.6339,51.19,77,100,4.79,SY,light rain
216,Alofi,-19.0595,-169.9187,84.09,74,13,11.5,NU,few clouds
217,Camacha,33.0833,-16.3333,60.22,72,20,9.22,PT,few clouds
